"","msa","house_index","hs_proportion","bachelor_proportion","weekly_wage","annual_wage","pop","percent_white","percent_black","percent_asian","percent_amerindian","percent_hpi","percent_other"
"172","Johnson City, TN",218.77,0.88,0.27,839,43615,207285,0.880705309,0.030807825,0.003270859,0.0109897,0.000332875,0.017729213
"173","Johnstown, PA",181.7475,0.92,0.22,810,42129,133472,0.90092304,0.043664589,0.001011448,0.005858907,0.000277212,0.005694078
"174","Jonesboro, AR",188.05,0.88,0.24,845,43957,134196,0.745402247,0.150943396,0.003412918,0.013062983,0.000462011,0.029114132
"175","Joplin, MO",193.4025,0.87,0.22,839,43648,181409,0.810125187,0.015842654,0.020572298,0.012706095,0.006951144,0.047097994
"176","Kahului-Wailuku-Lahaina, HI",287.4025,0.92,0.28,940,48894,164754,0.32899353,0.006464183,0.004722192,0.269055683,0.121441665,0.025516831
"177","Kalamazoo-Portage, MI",201.1075,0.94,0.4,1072,55737,261670,0.752894868,0.115993427,0.004872549,0.026911759,0.000290442,0.024454466
"178","Kankakee, IL",159.96,0.88,0.21,904,47002,107502,0.710005395,0.144862421,0.00401853,0.010139346,0.00021395,0.058408216
"179","Kansas City, MO-KS",270.6766667,0.92,0.37,1157,60144,2192035,0.708928461,0.119624002,0.005870344,0.030701608,0.002110824,0.042480161
"180","Kennewick-Richland, WA",254.2475,0.87,0.28,1067,55466,303622,0.632114932,0.015423784,0.011379281,0.027339916,0.002763304,0.17834676
"181","Killeen-Temple, TX",208.5475,0.91,0.24,951,49469,475367,0.520212804,0.206867536,0.009169757,0.028668376,0.010398282,0.085679065
"182","Kingsport-Bristol, TN-VA",220.55,0.87,0.22,911,47366,307614,0.921781843,0.018802785,0.00239586,0.006732463,0.0001983,0.007997035
"183","Kingston, NY",284.2125,0.91,0.33,864,44932,181851,0.779363325,0.060835519,0.004558677,0.021226169,0.000346437,0.046136672
"184","Knoxville, TN",262.12625,0.9,0.3,1040,54097,879773,0.837401239,0.05674191,0.003929423,0.017303327,0.000509222,0.024033472
"185","Kokomo, IN",160.6825,0.91,0.21,967,50304,83658,0.831241483,0.077888546,0.003072031,0.012312032,0.000286882,0.013351981
"186","La Crosse-Onalaska, WI-MN",249.555,0.95,0.34,931,48425,139627,0.889634526,0.014982776,0.004025009,0.040887507,0.000214858,0.008221906
"187","Lafayette-West Lafayette, IN",179.1525,0.92,0.35,923,48002,223716,0.762636557,0.051252481,0.003665361,0.061435034,0.000259257,0.04086431
"188","Lafayette, LA",227.11,0.85,0.24,929,48310,478384,0.658017409,0.245131526,0.003798204,0.018976387,0.000202766,0.022615723
"189","Lake Charles, LA",232.71,0.87,0.22,1140,59290,222402,0.65199054,0.248806216,0.005071897,0.017266032,0.000624994,0.02197822
"190","Lake Havasu City-Kingman, AZ",269.4775,0.86,0.13,806,41926,213267,0.795866215,0.010414176,0.024312247,0.012819611,0.001917784,0.059437231
"191","Lakeland-Winter Haven, FL",261.74,0.85,0.21,901,46834,725046,0.605525718,0.145553524,0.005356901,0.018638817,0.00063858,0.094955355
"192","Lancaster, PA",212.995,0.86,0.29,992,51583,552984,0.818551712,0.040496651,0.002390666,0.025583019,0.000305615,0.049489678
"193","Lansing-East Lansing, MI",188.24,0.94,0.33,1028,53464,541297,0.776246682,0.083702662,0.004733076,0.039117157,0.000349161,0.022061826
"194","Laredo, TX",196.8075,0.68,0.19,660,34337,267114,0.38456614,0.004365177,0.006180882,0.005259926,0.000198417,0.197230396
"195","Las Cruces, NM",188.6375,0.81,0.3,724,37652,219561,0.474624364,0.018546099,0.018623526,0.012297266,0.000888136,0.201306243
"196","Las Vegas-Henderson-Paradise, NV",256.985,0.86,0.25,1026,53338,2265461,0.448636282,0.126545546,0.010476896,0.104907125,0.009080712,0.153762965
"197","Lawrence, KS",225.2375,0.95,0.51,774,40267,118785,0.780351054,0.044626847,0.024834786,0.039441007,0.000723997,0.02162731
"198","Lawton, OK",159.7075,0.9,0.23,749,38958,126652,0.580432998,0.156949752,0.061309731,0.025021318,0.006995547,0.041989072
"199","Lebanon, PA",195.865,0.88,0.21,875,45519,143257,0.826556468,0.022567833,0.001884725,0.015594351,0.000572398,0.065930461
"200","Lewiston-Auburn, ME",228.03,0.91,0.23,934,48584,111139,0.869406779,0.05876425,0.003779051,0.008151954,0.000521869,0.007468126
"201","Lewiston, ID-WA",258.1425,0.92,0.24,865,44998,64375,0.869312621,0.0048,0.042625243,0.00838835,0.001040777,0.01104466
"202","Lexington-Fayette, KY",222.7725,0.91,0.39,981,50992,516811,0.748763087,0.110771636,0.003271989,0.029269888,0.000454712,0.041796711
"203","Lima, OH",188.565,0.91,0.19,931,48404,102206,0.790100385,0.123016261,0.002935248,0.008218696,0.000518561,0.014187034
"204","Lincoln, NE",219.6875,0.93,0.39,928,48241,340217,0.808319396,0.040750462,0.007997837,0.041570527,0.000623132,0.0312624
"205","Little Rock-North Little Rock-Conway, AR",211.075,0.91,0.31,957,49783,748031,0.640034972,0.23167088,0.005723025,0.018447096,0.000562811,0.037406204
"206","Logan, UT-ID",264.41,0.93,0.36,791,41147,147348,0.853421831,0.007743573,0.008218639,0.016172598,0.004832098,0.049970139
"207","Longview, TX",222.5325,0.85,0.2,918,47721,286184,0.639696838,0.175160037,0.007945937,0.00886842,0.000464736,0.082873256
"208","Longview, WA",274.8075,0.9,0.17,1067,55504,110730,0.820121015,0.007405401,0.015533279,0.01600289,0.006032692,0.042842951
"209","Los Angeles-Long Beach-Glendale, CA (MSAD)",344.349375,0.81,0.35,1373,71374,13200998,0.351691895,0.064253172,0.015285662,0.167168952,0.002542005,0.252459625
"210","Louisville/Jefferson County, KY-IN",253.06875,0.9,0.3,1087,56534,1285439,0.726703484,0.147547258,0.003328824,0.024780639,0.000686147,0.029091229
"211","Lubbock, TX",209.825,0.87,0.31,862,44811,321368,0.618288069,0.085686814,0.010218815,0.030255035,0.000787259,0.115503099
"212","Lynchburg, VA",210.6525,0.89,0.29,902,46882,261593,0.749305218,0.162481412,0.00362395,0.013639509,0.000485487,0.018016537
"213","Macon-Bibb County, GA",164.35,0.87,0.23,898,46679,233802,0.477480945,0.44549234,0.002331032,0.015842465,0.000290844,0.018930548
"214","Madera, CA",241.4125,0.72,0.15,896,46617,156255,0.417573838,0.029413459,0.049112028,0.025004,0.001107165,0.315529103
"215","Madison, WI",230.585,0.96,0.47,1163,60484,680796,0.801768812,0.046569016,0.004202434,0.053603429,0.000392188,0.02915117
"216","Manchester-Nashua, NH",280.985,0.92,0.39,1367,71076,422937,0.828184812,0.025859643,0.002414071,0.039067284,0.000333383,0.035123434
"217","Manhattan, KS",231.01,0.95,0.38,777,40414,134046,0.738865762,0.086537457,0.006826015,0.035935425,0.005296689,0.03206362
"218","Mankato, MN",235.8375,0.94,0.34,899,46751,103566,0.849207269,0.054815287,0.004538169,0.023202595,0.000463473,0.019021687
"219","Mansfield, OH",174.61,0.88,0.18,802,41690,124936,0.84154287,0.090542358,0.001969008,0.00634725,0.000464238,0.008196196
"220","McAllen-Edinburg-Mission, TX",184.37,0.67,0.19,638,33187,870781,0.345154522,0.005452576,0.007068367,0.010390672,0.000200969,0.226202685
"221","Medford, OR",290.56,0.9,0.29,897,46666,223259,0.798144756,0.007766764,0.012456385,0.015170721,0.003883382,0.052580187
"222","Memphis, TN-MS-AR",211.43625,0.89,0.29,1112,57800,1337779,0.422499531,0.457552406,0.003366774,0.024188599,0.000437292,0.043833847
"223","Merced, CA",257.2375,0.7,0.14,837,43498,281202,0.371739888,0.032567336,0.026735229,0.073665906,0.002869823,0.316907419
